MB_CODE_2021,MB_CATEGORY_NAME_2021,AREA_ALBERS_SQKM,Dwelling,Person,State,
50001433000,Commercial,0.1926,0,0,5,
50001440000,Education,0.0526,0,0,5,
50001450000,Residential,0.0627,51,108,5,
50001460000,Parkland,0.1305,0,0,5,
50001470000,Residential,0.0566,29,69,5,
50001480000,Residential,0.0442,42,98,5,
50001490000,Residential,0.0294,35,62,5,
50001501000,Residential,0.0432,41,90,5,
50001502000,Residential,0.0336,43,97,5,
50001510000,Residential,0.0518,47,97,5,
50001520000,Residential,0.0457,50,48,5,
50001530000,Residential,0.0408,32,34,5,
50001540000,Residential,0.0381,39,55,5,
50001550000,Residential,0.0356,33,72,5,
50001560000,Residential,0.0793,56,110,5,
50001571000,Residential,0.0572,56,143,5,
50001572000,Residential,0.074,45,118,5,
50001573000,Residential,0.0441,43,106,5,
50001580000,Residential,0.0808,48,99,5,
50001610000,Residential,0.0535,39,57,5,
50001620000,Residential,0.0576,46,53,5,
50001640000,Residential,0.0632,31,56,5,
50001650000,Residential,0.0469,31,60,5,
50001660000,Residential,0.0416,33,52,5,
50001670000,Residential,0.0571,54,115,5,
50001680000,Residential,0.051,35,87,5,
50001690000,Residential,0.0285,20,55,5,
50001700000,Residential,0.0527,34,70,5,
50001711000,Residential,0.0304,23,84,5,
50001712000,Residential,0.0275,22,53,5,
50001720000,Residential,0.0562,51,104,5,
50001730000,Residential,0.0443,40,94,5,
50001740000,Residential,0.033,27,49,5,
50001750000,Residential,0.0416,35,52,5,
50001760000,Residential,0.051,42,71,5,
50001770000,Residential,0.0414,45,105,5,
50001781000,Residential,0.0444,41,103,5,
50001782000,Residential,0.0367,92,123,5,
50001790000,Residential,0.0729,45,88,5,
50001810000,Residential,0.0334,32,75,5,
50001820000,Residential,0.0452,51,102,5,
50001830000,Residential,0.0334,38,81,5,
50001840000,Residential,0.0432,46,98,5,
50001850000,Residential,0.0369,16,23,5,
50001860000,Residential,0.0399,39,71,5,
50001870000,Residential,0.0412,43,76,5,
50001880000,Residential,0.0346,34,80,5,
50001890000,Residential,0.0486,46,104,5,
50001900000,Residential,0.4792,47,35,5,
50001920000,Residential,0.0565,60,115,5,
50001930000,Residential,0.038,41,77,5,
50001940000,Residential,0.0308,36,70,5,
50001950000,Residential,0.0293,30,62,5,
50001960000,Residential,0.0392,38,103,5,
50001980000,Residential,0.0302,18,49,5,
50001991000,Residential,0.049,48,117,5,
50001992000,Residential,0.0235,17,35,5,
50002010000,Residential,0.0532,53,133,5,
50002020000,Residential,0.0389,35,78,5,
50002030000,Residential,0.0404,37,94,5,
50002040000,Residential,0.0661,47,93,5,
50002060000,Residential,0.0517,38,65,5,
50002070000,Residential,0.0447,43,61,5,
50002080000,Residential,0.0377,38,86,5,
50002090000,Residential,0.0356,22,46,5,
50002100000,Residential,0.0468,38,67,5,
50002110000,Residential,0.0469,47,62,5,
50002120000,Residential,0.0404,36,79,5,
50002130000,Residential,0.017,33,58,5,
50002140000,Residential,0.0203,22,35,5,
50002150000,Residential,0.0682,44,63,5,
50002160000,Residential,0.0514,31,55,5,
50002170000,Residential,0.0392,33,78,5,
50002180000,Residential,0.0463,42,89,5,
50002190000,Residential,0.0435,56,95,5,
50002200000,Residential,0.0406,39,79,5,
50002210000,Residential,0.1041,55,113,5,
50002220000,Residential,0.0482,33,59,5,
50002240000,Residential,0.0591,41,93,5,
50002250000,Residential,0.0686,46,83,5,
50002260000,Residential,0.0295,38,68,5,
