amenity,police: 63
addr:street,Beaufort Street: 63
cuisine,italian: 63
survey:date,2022-03-20: 63
addr:street,Canning Highway: 62
swimming_pool,inground: 62
garden:type,residential: 62
operator,Transdev: 62
addr:postcode,6107: 61
fuel:diesel,yes: 61
shop,car: 61
check_date,2022-08-12: 61
fuel,electric: 61
air_conditioning,yes: 60
operator:wikidata,Q543262: 60
changing_table,no: 60
amenity,hospital: 58
orientation,parallel: 58
attribution,West Perth Business Map www.mineraldata.com.au: 57
cuisine,indian: 57
addr:postcode,6050: 57
cuisine,japanese: 57
fountain,bubbler: 57
survey:date,2023-08-26: 56
shop,doityourself: 56
sport,skateboard: 56
grades,K–6: 55
internet_access:fee,no: 55
addr:housenumber,6: 55
cuisine,mexican: 55
shop,newsagent: 55
shop,car_parts: 55
operator:type,private: 54
shelter_type,public_transport: 54
brand,Ampol: 54
brand:wikipedia,en:Woolworths Supermarkets: 54
shop,shoes: 54
amenity,recycling: 54
parking:orientation,parallel: 54
operator:wikipedia,en:Australia Post: 53
brand,Hungry Jack's: 53
brand:wikidata,Q3036373: 53
name,Hungry Jack's: 53
website,https://mcdonalds.com.au/: 53
fuel:octane_91,yes: 53
self_service,yes: 53
addr:unit,3: 53
indoor,yes: 53
local_ref,3: 53
vending,excrement_bags: 53
healthcare,hospital: 52
building:levels,2: 52
amenity,social_facility: 52
vending,parking_tickets: 52
operator:type,public: 51
survey:date,2022-05-17: 51
amenity,kindergarten: 51
surface,artificial_turf: 51
brand:wikipedia,en:Coles Supermarkets: 51
name,BP: 51
colour,Silver: 51
sport,field_hockey: 50
sport,rugby: 50
brand:wikidata,Q4748528: 50
amenity,ice_cream: 50
sport,four_square: 50
shop,massage: 50
sport,swimming: 49
payment:debit_cards,yes: 49
level,-1: 49
addr:suburb,Northbridge: 49
layer,0: 49
tents,no: 49
amenity,bicycle_repair_station: 49
addr:postcode,6056: 48
operator,Department of Fire & Emergency Services: 48
building,church: 48
shop,vacant: 48
internet_access,no: 48
name,Car Park: 47
brand,Red Rooster: 47
brand:wikidata,Q376466: 47
name,Red Rooster: 47
operator,Western Australia Police Force: 47
operator:wikidata,Q7987488: 47
brand:wikipedia,en:BP: 47
shop,butcher: 47
brand,BWS: 47
brand:wikidata,Q4836848: 47
name,BWS: 47
diet:vegan,yes: 47
shop,gift: 47
addr:housenumber,30: 46
shop,jewelry: 46
amenity,car_rental: 46
check_date:opening_hours,2023-05-05: 46
bicycle_parking,rack: 46
picnic_table,yes: 46
parking,yes: 46
local_ref,4: 46
amenity,theatre: 45
social_facility:for,senior: 45
addr:postcode,6157: 45
survey:date,2022-05-01: 45
survey:date,2023-10-08: 45
natural,wood: 44
access,permit: 44
operator:wikidata,Q5451517: 44
fuel:octane_98,yes: 44
addr:street,Rokeby Road: 44
addr:suburb,Canning Vale: 43
addr:postcode,6027: 43
sport,cricket;multi: 43
website,https://www.woolworths.com.au/: 43
brand:wikipedia,en:Subway (restaurant): 43
addr:postcode,6009: 42
addr:postcode,6152: 42
tourism,caravan_site: 42
alt_name,Kentucky Fried Chicken: 42
brand,KFC: 42
brand:wikidata,Q524757: 42
sport,basketball;netball: 42
addr:postcode,6055: 42
brand:wikipedia,en:Hungry Jack's: 42
cuisine,asian: 42
brand,Domino's: 42
brand:wikidata,Q839466: 42
name,Domino's: 42
addr:housenumber,8: 41
name,KFC: 41
tourism,hostel: 41
addr:housenumber,3: 41
brand,ANZ: 41
brand:wikidata,Q714641: 41
official_name,Australia and New Zealand Banking Group Limited: 41
shop,electronics: 41
website,https://www.coles.com.au/: 41
addr:suburb,Mount Lawley: 41
survey:date,2022-07-10: 41
board_type,qr: 41
payment:coins,yes: 40
brand,Caltex: 40
caravans,no: 40
description,Bus route running along from the city to Scarborough Beach: 40
amenity,college: 39
addr:postcode,6160: 39
addr:street,South Terrace: 39
addr:street,Great Eastern Highway: 39
addr:street,Ardross Street: 39
dispensing,yes: 39
website,https://www.subway.com.au/: 39
addr:street,James Street: 39
addr:unit,4: 39
brand:wikidata,Q259340: 39
local_ref,5: 39
bottle,yes: 39
addr:postcode,6065: 38
addr:housenumber,7: 38
addr:housenumber,4: 38
amenity,motorcycle_parking: 38
brand,7-Eleven: 38
brand,Liquorland: 38
brand:wikidata,Q2283837: 38
name,Liquorland: 38
artwork_type,mural: 38
athletics,long_jump: 38
shop,cosmetics: 38
addr:housenumber,5: 37
addr:postcode,6007: 37
brand:wikidata,Q277470: 37
fuel:octane_95,yes: 37
shop,garden_centre: 37
name,ALDI: 37
disused:highway,bus_stop: 37
board_type,welcome_sign: 37
opening_hours,Mo-Fr 08:00-21:00; Sa 08:00-17:00; Su 11:00-17:00: 36
addr:postcode,6076: 36
created_by,Potlatch 0.10f: 36
addr:housenumber,10: 36
parking,underground: 36
survey:date,2023-06-17: 36
beauty,nails: 36
addr:housenumber,11: 35
addr:postcode,6005: 35
capacity:disabled,1: 35
addr:city,Northbridge: 35
shop,sports: 35
capacity,20: 35
capacity,14: 35
outdoor_seating,no: 35
operator,St John Ambulance WA: 35
addr:street,parking: 35
survey:date,2022-05-14: 35
operator,Kalamunda Mountain Bike Collective (KMBC): 35
seats,1: 35
created_by,JOSM: 34
amenity,townhall: 34
brand:wikipedia,en:IGA (Australian supermarket group): 34
cuisine,thai: 34
addr:postcode,6035: 34
check_date,2022-11-06: 34
local_ref,6: 34
internet_access,yes: 33
addr:postcode,6112: 33
leisure,dog_park: 33
tourism,guest_house: 33
survey:date,2022-05-10: 33
addr:housenumber,15: 32
dog,yes: 32
brand:wikipedia,en:KFC: 32
website,https://www.hungryjacks.com.au/: 32
shop,chemist: 32
brand,ALDI: 32
name,7-Eleven: 32
source,microsoft/BuildingFootprints: 32
shop,charity: 32
shop,optician: 32
addr:suburb,Applecross: 31
capacity:disabled,2: 31
addr:suburb,Yanchep: 31
tourism,gallery: 31
name,ANZ: 31
brand,Westpac: 31
brand:wikidata,Q2031726: 31
shop,books: 31
brand:wikidata,Q41171672: 31
brand:wikipedia,en:Aldi: 31
healthcare,physiotherapist: 31
surface,tartan: 31
brand,Bankwest: 31
brand:wikidata,Q4856817: 31
material,aluminium: 31
check_date,2024-05-24: 31
landuse,retail: 30
amenity,bus_station: 30
addr:housenumber,20: 30
denomination,baptist: 30
brand,Coles Express: 30
brand:wikidata,Q5144653: 30
information,office: 30
addr:city,Leederville: 30
healthcare,optometrist: 30
addr:postcode,6069: 30
shop,outdoor: 30
amenity,taxi: 30
artwork_type,statue: 30
bottle,no: 30
cuisine,vietnamese: 30
addr:postcode,6010: 29
social_facility,group_home: 29
access,no: 29
brand:wikidata,Q4997829: 29
name,Bunnings Warehouse: 29
name,Ampol: 29
brand,Shell: 29
shop,pet: 29
amenity,cinema: 28
addr:postcode,6158: 28
addr:suburb,East Fremantle: 28
clothes,women: 28
brand,Bunnings Warehouse: 28
check_date,2023-03-08: 28
addr:street,Oxford Street: 28
check_date,2022-08-03: 28
brand:wikidata,Q110716465: 28
shop,deli: 28
addr:postcode,6154: 28
local_ref,7: 28
cuisine,kebab: 28
shop,agrarian: 28
addr:postcode,6167: 27
addr:postcode,6025: 27
name,Caltex: 27
shop,bed: 27
capacity,16: 27
brand,Zambrero: 27
name,Zambrero: 27
brand:wikipedia,en:Domino's Pizza: 27
survey:date,2022-05-19: 27
shelter_type,weather_shelter: 27
hoops,2: 27
shop,tyres: 27
shower,no: 27
check_date,2023-06-20: 27
recycling_type,container: 27
check_date,2023-01-19: 27
addr:postcode,6018: 26
addr:postcode,6150: 26
addr:street,Stirling Highway: 26
addr:postcode,6105: 26
addr:postcode,6058: 26
addr:postcode,6162: 26
addr:city,West Perth: 26
addr:street,Murray Street: 26
name,Coles Express: 26
operator,ANZ: 26
brand:wikidata,Q18636431: 26
indoor,room: 26
compressed_air,yes: 26
shop,florist: 26
addr:postcode,6036: 26
shop,houseware: 26
fuel,gas: 26
addr:housenumber,18: 25
addr:city,Fremantle: 25
operator,All Saints' College: 25
addr:postcode,6062: 25
addr:postcode,6210: 25
addr:postcode,6104: 25
website,https://dfes.wa.gov.au/: 25
sport,baseball: 25
addr:city,Applecross: 25
playground:theme,playground: 25
brand,NAB: 25
brand:wikidata,Q1430985: 25
addr:street,Scarborough Beach Road: 25
brand:wikipedia,en:Bunnings Warehouse: 25
operator,Aldi Australia: 25
vending,public_transport_tickets: 25
brand,Commonwealth Bank: 25
brand:wikidata,Q285328: 25
addr:postcode,6014: 24
contact:website,http://www.canning.wa.gov.au/P/parks-a-recreation-listing.html#willetton: 24
addr:postcode,6061: 24
name,Dôme: 24
addr:housenumber,31: 24
sport,multi: 24
payment:american_express,yes: 24
addr:street,St Georges Terrace: 24
brand:wikipedia,en:Red Rooster: 24
check_date,2024-03-16: 24
delivery,yes: 24
name,Westpac: 24
operator,Curtin University: 24
shop,laundry: 24
brand:wikidata,Q7259769: 24
addr:postcode,6090: 24
name,Australia Post: 24
natural,grass: 24
survey:date,2023-05-13: 24
shop,travel_agency: 24
cuisine,sushi: 24
seats,8: 24
addr:postcode,6148: 23
addr:housenumber,25: 23
addr:housenumber,100: 23
addr:suburb,Cannington: 23
addr:housenumber,50: 23
addr:suburb,Forrestfield: 23
addr:postcode,6030: 23
building:levels,3: 23
fixme,name: 23
brand,Dôme: 23
brand:wikidata,Q5289995: 23
brand:wikipedia,en:Dôme (coffeehouse): 23
website,https://www.domecoffees.com/: 23
